"Original Name","Search Keyword","Item Name on Carrefour","Price"
"فيانسيه زيت مغذى للشعر بالزيتون175 ملى","فيانسيه زيت مغذى للشعر بالزيتون175 ملى | فيانسيه زيت مغذى للشعر بالزيتون175 | فيانسيه زيت مغذى","",""
"فيانسيه زيت شعر مغذى 7*1 175 ملى","فيانسيه زيت شعر مغذى 7*1 175 ملى | فيانسيه زيت شعر مغذى 7*1 | فيانسيه زيت شعر","",""
"لوريال بديل الزيت 300 ملى تغذيه *9 اكثر للشعر العادى و الجاف","لوريال بديل الزيت 300 ملى تغذيه *9 اكثر للشعر العادى و الجاف | لوريال بديل الزيت 300 ملى | لوريال بديل الزيت","",""
"هيد شامبو ديتوكس بالفحم 400 مل","هيد شامبو ديتوكس بالفحم 400 مل | هيد شامبو ديتوكس بالفحم 400 | هيد شامبو ديتوكس","",""
"هيد شامبو 600 ملى عادى نظيف وانيق","هيد شامبو 600 ملى عادى نظيف وانيق | هيد شامبو 600 ملى عادى | هيد شامبو 600","",""
"هيد شامبو 600 ملى عادى انسيابى وحرير","هيد شامبو 600 ملى عادى انسيابى وحرير | هيد شامبو 600 ملى عادى | هيد شامبو 600","",""
"هيد شامبو انسيابى وحريرى 400 مل","هيد شامبو انسيابى وحريرى 400 مل | هيد شامبو انسيابى وحريرى 400 | هيد شامبو انسيابى","",""
"دوف كريم مركز 150جرام عادى","دوف كريم مركز 150جرام عادى | دوف كريم مركز","",""
"دوف كريم الجمال 150جرام","دوف كريم الجمال 150جرام | دوف كريم الجمال","",""
"سيجنال وايت ناو اوريجينال 75 مل + فرشه","سيجنال وايت ناو اوريجينال 75 مل + | سيجنال وايت ناو اوريجينال 75 | سيجنال وايت ناو","",""
"فيبكس 10 احمر حريمى","فيبكس 10 احمر حريمى | فيبكس 10 احمر","",""
"فيبكس 10 اخضر كلاسيك","فيبكس 10 اخضر كلاسيك | فيبكس 10 اخضر","",""
"فيانسيه زيت مغذى للشعر بالصبار 175 ملى","فيانسيه زيت مغذى للشعر بالصبار 175 ملى | فيانسيه زيت مغذى للشعر بالصبار | فيانسيه زيت مغذى","",""
"فيانسيه زيت شعر 7*1 بالخلطه السعوديه 175 ملى","فيانسيه زيت شعر 7*1 بالخلطه السعوديه 175 ملى | فيانسيه زيت شعر 7*1 بالخلطه | فيانسيه زيت شعر","",""
"لوكس صابون بشره مثاليه 75جرام","لوكس صابون بشره مثاليه 75جرام | لوكس صابون بشره","",""
"ايفا جلسرين كريم بشره 170 جرام","ايفا جلسرين كريم بشره 170 جرام | ايفا جلسرين كريم بشره 170 | ايفا جلسرين كريم","",""
"ايفا سموكرز بودره اسنان بالمنتول 40 جرام","ايفا سموكرز بودره اسنان بالمنتول 40 جرام | ايفا سموكرز بودره اسنان بالمنتول | ايفا سموكرز بودره","",""
"تمارا فازلين طبى 110 ملى","تمارا فازلين طبى 110 ملى | تمارا فازلين طبى","",""
"كامى صابون 115جرام عادى رومانسيه Romantique","كامى صابون 115جرام عادى رومانسيه Romantique | كامى صابون 115جرام عادى رومانسيه | كامى صابون 115جرام","",""
"لوكس صابون بشره نضره 165جم","لوكس صابون بشره نضره 165جم | لوكس صابون بشره","",""
"كامى صابون 115جرام عادى اناقه","كامى صابون 115جرام عادى اناقه | كامى صابون 115جرام","",""
"اكس اسبراى برفان دارك تمبتيشن 17 ملى","اكس اسبراى برفان دارك تمبتيشن 17 ملى | اكس اسبراى برفان دارك تمبتيشن | اكس اسبراى برفان","",""
"بيور بودرة اطفال بدون عطر 200 جرام","بيور بودرة اطفال بدون عطر 200 جرام | بيور بودرة اطفال بدون عطر | بيور بودرة اطفال","",""
"الو ايفا زيت بخلاصة الصبار 170 مل","الو ايفا زيت بخلاصة الصبار 170 مل | الو ايفا زيت بخلاصة الصبار | الو ايفا زيت","",""
"الو ايفا زيت بخلاصة الصبار 255 مل","الو ايفا زيت بخلاصة الصبار 255 مل | الو ايفا زيت بخلاصة الصبار | الو ايفا زيت","",""
"الو ايفا زيت بخلاصة الصبار 85 مل","الو ايفا زيت بخلاصة الصبار 85 مل | الو ايفا زيت بخلاصة الصبار | الو ايفا زيت","",""
"بيج بن فوم 200 ملى","بيج بن فوم 200 ملى | بيج بن فوم","",""
